,modelo,ano_modelo,marca,modelo_raw
388,RANGER XLS4SPTA22,2018.0,FORD,I/FORD RANGER XLS4SPTA22
391,FOCUS TI AT 2.0HC,2018.0,FORD,I/FORD FOCUS TI AT 2.0HC
395,TORO FREEDOM 1.3 T270 4X2 FLEX AUT.,2022.0,FIAT,TORO FREEDOM 1.3 T270 4X2 FLEX AUT.
396,XC40 INSC EXPRES,2022.0,VOLVO,I/VOLVO XC40 INSC EXPRES
398,PRISMA SED. JOY/ LS 1.0 8V FLEXPOWER 4P,2017.0,GM - CHEVROLET,PRISMA SED. JOY/ LS 1.0 8V FLEXPOWER 4P
399,NIVUS HIGHLINE 1.0 200 TSI FLEX AUT.,2021.0,VW - VOLKSWAGEN,NIVUS HIGHLINE 1.0 200 TSI FLEX AUT.
402,KA SE 1.0 HA C,2019.0,FORD,FORD/KA SE 1.0 HA C
404,VIRTUS HIGHLINE 200 TSI 1.0 FLEX 12V AUT.,2021.0,VW - VOLKSWAGEN,VIRTUS HIGHLINE 200 TSI 1.0 FLEX 12V AUT
406,HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT.,2021.0,TOYOTA,HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT.
409,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V CD,2019.0,VW - VOLKSWAGEN,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V CD
411,SANDERO AUTHENTIQUE FLEX 1.0 12V 5P,2018.0,RENAULT,SANDERO AUTHENTIQUE FLEX 1.0 12V 5P
422,330I M SPORT 2.0 TB 16V 4P,2020.0,BMW,330I M SPORT 2.0 TB 16V 4P
423,HB20S COMFORT 1.0 FLEX 12V MEC.,2019.0,HYUNDAI,HB20S COMFORT 1.0 FLEX 12V MEC.
425,KWID LIFE 1.0 FLEX 12V 5P MEC.,2020.0,RENAULT,KWID LIFE 1.0 FLEX 12V 5P MEC.
426,STRADA WORKING HARD 1.4 FIRE FLEX 8V CD,2019.0,FIAT,STRADA WORKING HARD 1.4 FIRE FLEX 8V CD
428,DUSTER OROCH DYNA. 1.6 FLEX 16V MEC.,2020.0,RENAULT,DUSTER OROCH DYNA. 1.6 FLEX 16V MEC.
429,COROLLA XEI 2.0 FLEX 16V AUT.,2020.0,TOYOTA,COROLLA XEI 2.0 FLEX 16V AUT.
431,PRISMA SED. LT 1.4 8V FLEXPOWER 4P,2019.0,GM - CHEVROLET,PRISMA SED. LT 1.4 8V FLEXPOWER 4P
436,TRACKER PREMIER 1.2 TURBO 12V FLEX AUT.,2021.0,GM - CHEVROLET,TRACKER PREMIER 1.2 TURBO 12V FLEX AUT.
439,PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.,2018.0,GM - CHEVROLET,PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.
440,HB20S VISION 1.0 FLEX 12V MEC.,2021.0,HYUNDAI,HB20S VISION 1.0 FLEX 12V MEC.
443,STRADA VOLCANO 1.3 FLEX 8V CD,2022.0,FIAT,STRADA VOLCANO 1.3 FLEX 8V CD
444,KICKS SV CVT,2021.0,NISSAN,NISSAN/KICKS SV CVT
447,YARIS XLS SEDAN 1.5 FLEX 16V 4P AUT.,2020.0,TOYOTA,YARIS XLS SEDAN 1.5 FLEX 16V 4P AUT.
450,CRETA PULSE 2.0 16V FLEX AUT.,2017.0,HYUNDAI,CRETA PULSE 2.0 16V FLEX AUT.
456,HB20 SENSE 1.0 FLEX 12V MEC.,2021.0,HYUNDAI,HB20 SENSE 1.0 FLEX 12V MEC.
459,S10 PICK-UP LT 2.5 FLEX 4X4 CD AUT.,2021.0,GM - CHEVROLET,S10 PICK-UP LT 2.5 FLEX 4X4 CD AUT.
462,TIGGO 5X TXS 1.5 16V TURBO FLEX AUT.,2020.0,CHERY,TIGGO 5X TXS 1.5 16V TURBO FLEX AUT.
463,VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT.,2020.0,VW - VOLKSWAGEN,VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT
465,CIVIC SEDAN EXL 2.0 FLEX 16V AUT.4P,2020.0,HONDA,CIVIC SEDAN EXL 2.0 FLEX 16V AUT.4P
